rank,play_count,author,video_id,publish_at,title,digg_count,comment_count,share_count
1,346063,灵灵（三角洲行动）,7584385460730907963,2025/12/16 17:29:22,50蚊双陪，和闺蜜一起接。#上热门 #三角洲陪玩 #三角洲女玩家 #三角洲女陪 #三角洲行动陪玩,1430,0,0
2,80875,不是月季（三角洲陪?）,7597794878248374770,2026/01/21 20:44:34,三角洲陪?。#三角洲 #三角洲女陪 #三角洲陪玩,326,0,0
3,45507,小猫电竞(接洲),7613253741366469715,2026/03/04 12:32:50,三角洲女玩家。谁来找我打洲呀#三角洲 #三角洲行动 #三角洲俱乐部,501,0,0
4,25559,不是月季（三角洲陪?）,7595822099186060105,2026/01/16 13:09:15,三角洲女?。#三角洲 #三角洲陪玩 #三角洲女玩家 #三角洲护航,77,0,0
5,17065,冰冰?,7602601158554051674,2026/02/03 19:35:39,"三角洲陪女大?
#三角洲行动#三角洲#三角洲女玩家#三角洲陪玩",38,0,0
6,16735,思雾（三角洲陪?）,7582916657711205642,2025/12/12 18:29:36,三角洲。今天要猛攻吗？我手感火热#三角洲#三角洲女陪玩#三角洲陪玩,47,0,0
7,15262,小慧,7596952279325718962,2026/01/19 14:14:50,三角洲女陪三角洲女陪 猛攻吗，我手感火热#三角洲 #三角洲行动 #三角洲女玩家#游戏陪玩#女陪玩,51,0,0
8,14573,小久团,7608438555946519935,2026/02/19 13:07:32,普信ID哥普信ID哥 #三角洲 #三角洲行动 #三角洲行动全球预约开启,243,0,0
9,12243,不懂雨,7600750774217391994,2026/01/29 19:54:57,"三角洲陪?
#三角洲行动 #三角洲 #三角洲女玩家 #三角洲陪玩",21,0,0
10,11465,甜欣,7604155656090604891,2026/02/08 00:07:37,我该怎么办？@甜欣电竞 #三角洲行动,222,0,0
11,9620,小伊（三角洲看煮页）,7605871784408418899,2026/02/12 15:07:04,希望这也是你的ID#三角洲 #三角洲行动 #三角洲行动全球预约开启,234,0,0
12,8625,小久团,7610467828147283190,2026/02/25 00:22:04,三角洲。三角洲。 #三角洲 #三角洲行动 #三角洲行动全球预约开启 #三角洲行动首测,247,0,0
13,8475,小伊（三角洲看煮页）,7608908589542335366,2026/02/20 19:31:29,25块战神，没技术不行#三角洲 #三角洲行动 #三角洲女玩家,142,0,0
14,7086,小久团,7611815122328512838,2026/02/28 15:30:15,只买安全陪伴只买安全陪伴 #三角洲 #三角洲行动,279,0,0
15,5048,奈奈不吃虾,7597327320182373029,2026/01/20 14:30:10,三角洲陪?#三角洲 #三角洲行动 #三角洲陪玩 #三角洲女玩家,19,0,0
16,5008,欢欢（接三角洲陪?）,7567182525090179177,2025/10/31 08:53:08,三角洲女玩家陪玩接单啦，20/h 陪你征战三角洲！战术配合超默契，组队稳赢不翻车，全程高能输出～#三角洲陪玩 #三角洲 #三角洲行动 #三角洲女玩家 #三角洲出红,6,0,0
